"Atlanta
",10,49,16,-39,"rob OR kardashian AND rita OR ora
"
,,,,,
"Austin, TX, USA
",8,9,3,-1,"rob OR kardashian AND rita OR ora
"
,,,,,
"Chicago
",4,69,2,-65,"rob OR kardashian AND rita OR ora
"
,,,,,
"Detroit
",19,49,7,-30,"rob OR kardashian AND rita OR ora
"
,,,,,
"Los Angeles
",4,68,3,-64,"rob OR kardashian AND rita OR ora
"
,,,,,
"Madison, WI, USA
",1,3,0,-2,"rob OR kardashian AND rita OR ora
"
,,,,,
"Miami
",26,35,14,-9,"rob OR kardashian AND rita OR ora
"
,,,,,
"New York, NY, USA
",11,60,4,-49,"rob OR kardashian AND rita OR ora
"
,,,,,
"San Francisco, CA, USA
",8,58,9,-50,"rob OR kardashian AND rita OR ora
"
,,,,,
"Seattle, WA, USA
",15,29,10,-14,"rob OR kardashian AND rita OR ora
"
